id|star|user_id|webtoon_id
155|50|7|2108
156|50|7|2096
157|50|7|2530
158|50|7|2318
159|50|7|2364
160|50|7|2531
161|50|7|2074
162|50|7|2381
163|50|7|2343
164|50|7|2272
165|5|7|1977
166|5|7|2278
167|5|2|2128
168|50|7|2370
169|5|7|2277
170|50|7|2137
171|50|7|2284
172|50|7|2005
173|50|7|2077
174|50|7|2332
175|50|7|2476
176|50|7|2353
177|50|7|2522
178|50|7|2465
179|5|7|2230
180|50|7|2089
181|40|2|2208
182|30|2|2196
183|20|1|2028
185|5|2|2447
186|50|1|2251
187|40|1|2239
188|50|7|2662
189|50|7|3132
190|40|2|2356
191|50|7|2728
192|5|7|2854
193|45|2|2274
194|50|7|2760
195|5|7|2866
196|40|2|3161
197|45|2|2251
199|35|2|3199
200|25|4|2665
201|35|4|2781
202|40|4|2701
203|30|4|3069
204|35|4|301
205|20|4|487
206|40|4|77
207|25|4|378
208|30|4|170
209|50|3|2275
210|40|3|2061
211|40|3|2064
212|40|3|2249
213|35|4|133
214|45|3|2269
215|35|3|2257
216|35|4|208
217|50|3|2070
218|40|3|2485
219|45|3|2187
220|30|3|2024
221|45|3|2077
222|40|4|406
223|50|3|2144
224|35|3|2188
225|50|3|2191
226|45|3|2262
227|5|7|154
228|45|3|2082
229|35|3|2150
230|50|7|388
231|50|7|296
232|50|3|2138
233|50|3|2197
234|50|7|249
235|5|7|238
236|40|4|419
237|40|3|2071
238|5|7|295
239|15|3|1984
240|40|4|407
241|45|3|2200
242|35|3|2227
244|40|4|316
245|50|7|152
246|50|7|110
247|10|4|140
248|50|3|2457
249|45|3|2229
250|30|4|449
251|40|3|2247
252|35|3|2222
253|50|3|2462
254|50|3|2164
255|45|3|2274
256|40|3|1994
257|50|3|2080
258|45|3|2167
259|45|3|1989
260|50|3|2165
261|30|3|2430
262|35|3|2300
263|50|3|2208
264|45|3|2311
265|50|7|148
266|40|4|360
267|50|7|325
268|50|7|276
269|50|7|216
270|15|4|318
271|50|4|442
272|20|4|495
273|30|4|352
274|50|7|217
275|50|7|141
276|5|7|8
277|30|4|138
278|40|4|2194
279|35|4|2202
280|45|4|2308
281|5|4|2139
282|10|4|2061
283|35|4|2224
284|50|7|211
285|40|4|2303
286|10|4|2169
287|40|4|2338
288|35|4|2000
289|30|4|2287
290|20|4|2254
291|10|4|2258
292|40|4|2311
293|35|4|1984
294|35|4|2197
295|35|4|2201
296|5|4|2064
297|35|4|2143
298|40|4|2269
299|40|4|1982
300|30|4|2099
